Aluminum;0.33
Aluminum Bronze;0.3
Beryllium;0.024 - 0.03
Blackheart Cast Iron;0.26
Bronze;0.34
Copper;0.36
Gold;0.42
Lead;0.40 - 0.45
Magnesium;0.35
Mild Steel;0.3
Molybdenum;0.32
Naval Brass;0.34
Nickel;0.31
Phosphor Bronze;0.33
Platinum;0.39
Plutonium;0.15 - 0.21
Silver;0.37
Stainless Steel 304L;0.3
Tantalum;0.35
Thorium;0.27
Tin;0.33
Titanium;0.3
Tungsten;0.28
Uranium;0.21
Wrought Iron;0.3
Zinc;0.25
